contractAddress,guardName,guardAddress,description
0x1b02dA8Cb0d097eB8D57A175b88c7D8b47997506,UniswapV2RouterGuard,0x8130906D038ac7161f07cF76FC119Cc72764b65f,Sushi V2 router
0xa5E0829CaCEd8fFDD4De3c43696c57F7D7A678ff,UniswapV2RouterGuard,0x8130906D038ac7161f07cF76FC119Cc72764b65f,Quickswap V2 router
0x4A73218eF2e820987c59F838906A82455F42D98b,QuickStakingRewardsGuard,0x66509140E08A58a1CC0eEF29C565FE9c68E3EFAF,Quick Staking Reward
0x11111112542D85B3EF69AE05771c2dCCff4fAa26,OneInchV3Guard,0x641B2F974068FDfC52Ff694848eC3d6102BA4b44,OneInch V3 Router
0xC3e6d2811f669094d94F7589CaEa69672D93408e,EasySwapperGuard,0xfB95299134E94466575c4Eff82037448be1AE4Ae,Dhedge EasySwapper - allows access to toros pools
0x1111111254fb6c44bac0bed2854e76f90643097d,OneInchV4Guard,0x708Fb18D76Ca9E80792810758aCd81E60C6D987d,OneInch V4 Router
0x93080d2A69F933c777FB358DCF836c45419b687b,EasySwapperGuard,0x6752f1b62Fe2bB66D941882A8B2450eD8afA1978,Dhedge EasySwapper - allows access to toros pools
0x7963D8a857178758e5d2c4cddC18a9564dd13F3D,EasySwapperGuard,0xE9110349CB8e9dbC2151B13bee6a34b74189D612,Dhedge EasySwapper - allows access to toros pools
0xC7835Fe4E710157282bB705BF7fD8C207C7D069F,EasySwapperGuard,0x27F208794F3D908c2EDe7CC5D376c30e9885c837,Dhedge EasySwapper - allows access to toros pools
0x9e080df81d9Db50348ef40F630fAE74f5Aea1f68,EasySwapperGuard,0x85853E32fcE973c3aaaCDeE52e8Be0b2A8886469,Dhedge EasySwapper - allows access to toros pools
0x42B1DDcFa1c43E06F483BA0Dd1b9cC923043677f,EasySwapperGuard,0x217C256Cdb554D889DA96973CD86e31fFf35625D,Dhedge EasySwapper - allows access to toros pools
0x248960A9d75EdFa3de94F7193eae3161Eb349a12,AaveDebtTokenContractGuard,0xd0DD27DC984c1AC18a6fec6FCdB4C18af08887d4,Aave Debt Token Contract Guard
0xeDe17e9d79fc6f9fF9250D9EEfbdB88Cc18038b5,AaveDebtTokenContractGuard,0xd0DD27DC984c1AC18a6fec6FCdB4C18af08887d4,Aave Debt Token Contract Guard
0xF664F50631A6f0D72ecdaa0e49b0c019Fa72a8dC,AaveDebtTokenContractGuard,0xd0DD27DC984c1AC18a6fec6FCdB4C18af08887d4,Aave Debt Token Contract Guard
0x1111111254eeb25477b68fb85ed929f73a960582,OneInchV5Guard,0x065B9EB1024375bfB0A160dd1943DDDDe92457C7,OneInch V5 Router
0xB2F1498983bf9c9442c35F772e6C1AdE66a8DeDE,EasySwapperGuard,0x813a65aCc4b61530075B040f1689531966d62910,Dhedge EasySwapper - allows access to toros pools
0xdef1c0ded9bec7f1a1670819833240f027b25eff,ZeroExContractGuard,0x1D7612FcEe43D4Ed25DDEe5b79d44414dAED6617,ZeroEx Exchange Proxy
0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,StargateRouterContractGuard,0xe8d20D2105aC0d66C9A9a44266b93606EAf2a840,Stargate Router Contract Guard
0x8731d54e9d02c286767d56ac03e8037c07e01e98,StargateLpStakingContractGuard,0x0bAa2c1943B9c8BE74792Af7387f024ed5C33265,Stargate Lp Staking Contract Guard
