contractAddress,guardName,guardAddress,description
0x0769fd68dFb93167989C6f7254cd0D766Fb2841F,SushiMiniChefV2Guard,0xB80344Bc1EA92502dE950d88Bb1fc9A41b29BE77,Sushi rewards contract
0x357D51124f59836DeD84c8a1730D72B749d8BC23,AaveIncentivesControllerGuard,0xAF33891D6DD4e6fF6b1D676D77001B0F73197689,Aave Incentives Controller contract
0x0F3e0c4218b7b0108a3643cFe9D3ec0d4F57c54e,BalancerMerkleOrchardGuard,0x75bE6311B6F649F4D8Be433c8AFFaf67d9CaD826,Balancer Merkle Orchard Guard
0xEdF8C3aD1186d6ecB8b8cd08230b9434768252A5,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x9941c03d31bc8b3aa26e363f7dd908725e1a21bb,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x33d1ad9cd88a509397cd924c2d7613c285602c20,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0xfb5b8515b011b073defb5fa63b05a7190a5207b3,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x50be234a8405c32c15712850377deec768628bc9,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0xdb01724cd5885d76438d2b54097c9dd8dbf443a1,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x5E65A272fb0d594c7447F05928011C4F7f53c808,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0x56c5b00bdeb3cb8adf745650599f9adef3c40275,ArrakisLiquidityGaugeV4Address,0x6ABB2f1373c06b21655e90864433A3E0d5d8bdC1,Arrakis Liquidity Gauge V4
0xbc91a120cCD8F80b819EAF32F0996daC3Fa76a6C,ArrakisV1RouterStakingGuard,0x6c1803D33194234B30c222Bcda310f36219dfF69,Arrakis V1 Router Staking Guard
0x72843281394e68de5d55bcf7072bb9b2ebc24150,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x9928340f9E1aaAd7dF1D95E27bd9A5c715202a56,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x48534d027f8962692122dB440714fFE88Ab1fA85,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0xba46106a5fdb350372c17ba31bc0a6b71a148221,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x0F09F70Ed59202c77aC667f574A5f79bC65CeA48,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0x2aa6fb79efe19a3fce71c46ae48efc16372ed6dd,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0xdffe97094394680362ec9706a759eb9366d804c2,BalancerV2GaugeContractGuard,0x2583A4580F3014552197B47C542d8c5f88A8C772,BalancerV2GaugeContractGuard
0xc73fb100a995b33f9fa181d420f4c8d74506df66,ArrakisV1RouterStakingGuard,0xCA6C89dfF08E4040052088eaF21f59b1D4bc5fA2,Arrakis V1 Router Staking Guard
0x3db487975aB1728DB5787b798866c2021B24ec52,AaveMigrationHelperGuard,0xD131aff6138155cA384C0A7e5e91e73f0Ab7dd0E,Aave Migration Helper
0xFCCf3cAbbe80101232d343252614b6A3eE81C989,AaveDebtTokenContractGuard,0xd0DD27DC984c1AC18a6fec6FCdB4C18af08887d4,Aave Debt Token Contract Guard
0x0c84331e39d6658Cd6e6b9ba04736cC4c4734351,AaveDebtTokenContractGuard,0xd0DD27DC984c1AC18a6fec6FCdB4C18af08887d4,Aave Debt Token Contract Guard
0x92b42c66840c7ad907b4bf74879ff3ef7c529473,AaveDebtTokenContractGuard,0xd0DD27DC984c1AC18a6fec6FCdB4C18af08887d4,Aave Debt Token Contract Guard
0x929EC64c34a17401F460460D4B9390518E5B473e,AaveIncentivesControllerV3Guard,0x91d3602Dfe4B150E6c39119AcB5e50AbfC7204e9,Aave Incentives Controller V3 contract
0xBA12222222228d8Ba445958a75a0704d566BF2C8,BalancerV2Guard,0xf9Dd3000500E5ea6921E515a87f1C101dF1ee09e,Balancer V2 Guard
0x8dFf5E27EA6b7AC08EbFdf9eB090F32ee9a30fcf,AaveLendingPoolGuardV2,0xb4592C7e03d97Ff2203aA169c0cB553af0a52482,Aave V2 Lending Pool contract
0x794a61358D6845594F94dc1DB02A252b5b4814aD,AaveLendingPoolGuardV3,0x1BEAE148490caB368E731DeB6bD5A92238cAaD99,Aave V3 Lending Pool contract
0x4E3288c9ca110bCC82bf38F09A7b425c095d92Bf,OdosV2ContractGuard,0xD8F07645Cc987c7A40761e2E9D73C8Ed356D375b,Odos V2 Router
0x6131B5fae19EA4f9D964eAc0408E4408b66337b5,KyberSwapRouterV2ContractGuard,0xC80700f6555112C790b6bFC52a42061d84A609eE,KyberSwap V2 Router
0x0D05a7D3448512B78fa8A9e46c4872C88C4a0D05,OdosV3ContractGuard,0x96d3FBe3eE60cC5b490034FFAF9d9992D605996E,Odos V3 Router
0xC36442b4a4522E871399CD717aBDD847Ab11FE88,UniswapV3NonfungiblePositionGuard,0xAfD119Ac864C6A263dD15908011abF837A6435D0,Uniswap V3 Nonfungible Position contract
0x111111125421ca6dc452d289314280a0f8842a65,OneInchV6Guard,0x539C3a5119aDF04462b49321309CD797b793E96b,OneInch V6 Router
0x000000000022D473030F116dDEE9F6B43aC78BA3,ClosedContractGuard,0x32f9AEE0AB90D01917dCb4ECDE4E8eFA9B827Cdc,Permit2
0xC92E8bdf79f0507f65a392b0ab4667716BFE0110,ClosedContractGuard,0x32f9AEE0AB90D01917dCb4ECDE4E8eFA9B827Cdc,GPv2VaultRelayer
0x9008D19f58AAbD9eD0D60971565AA8510560ab41,GPv2SettlementContractGuard,0x417c0384551E324d485cd6d7052d29d69e24eaa7,CoWSwap GPv2 Settlement
0x45b90480D6F643dE2f128db091A357C3c90399f2,EasySwapperV2ContractGuard,0xefA645c80551eE39294889E465dAa9BeA3be5791,EasySwapperV2 - allows access to toros pools
